Name of the painting,Style,Year,Period,Fractal dimension,Entropy,Birkhoff measure,Euclidean distance
Evocation (The Burial of Casagemas),Symbolism,1901,Blue Period,1.7974,7.8351,883.9106,843.1709
Female Head,Expressionism,1902,Blue Period,1.6783,7.2850,415.6218,355.6083
Group of poor people,Expressionism,1903,Blue Period,1.8947,6.9749,71.3537,313.7455
Harlequin leaning,Post-Impressionism,1901,Blue Period,1.6898,7.6594,243.5105,408.4476
Head of dead woman,Expressionism,1902,Blue Period,1.7716,7.5759,167.9453,316.1950
Le gourmet,Post-Impressionism,1901,Blue Period,1.7312,7.6808,111.7373,251.5219
Life,"Expressionism, Symbolism",1903,Blue Period,1.8251,7.5869,1032.6136,1019.5676
Madonna with Garland,"Expressionism, Symbolism",1904,Blue Period,1.5848,6.7252,126.4116,256.6477
Man and woman in café (study),Expressionism,1903,Blue Period,1.8965,7.0079,96.3573,379.0323
Man and woman in café,Expressionism,1903,Blue Period,1.6853,7.5302,279.1090,373.2336
Man and woman with child in café,Expressionism,1903,Blue Period,1.8276,7.6155,181.3558,537.6205
Man and Woman,Expressionism,1902,Blue Period,1.8595,7.0203,73.0294,354.2051
Man in blue,Expressionism,1902,Blue Period,1.5734,7.2741,424.5743,343.8469
Melancholy woman,Expressionism,1902,Blue Period,1.6394,7.0417,615.2348,732.8671
Mother and child on the beach,"Expressionism, Symbolism",1902,Blue Period,1.8431,7.3905,1140.6886,933.0613
Mother and child on the beach_1,Post-Impressionism,1902,Blue Period,1.8857,7.8142,305.1279,366.4407
Mother and child,"Expressionism, Symbolism",1902,Blue Period,1.7565,7.5440,1051.5719,777.9494
Mother and son on the shore,Post-Impressionism,1902,Blue Period,1.7558,7.2834,387.4092,400.5441
Mother and son with handkerchief,Expressionism,1903,Blue Period,1.6935,7.3871,182.2280,393.0547
Motherhood,Post-Impressionism,1901,Blue Period,1.7121,7.5277,209.1718,382.6329
Motherhood_1,Post-Impressionism,1901,Blue Period,1.7432,7.6598,133.0029,370.3142
Naked woman with dripping hair,Expressionism,1902,Blue Period,1.8327,7.1460,235.9301,257.7122
Nana,Post-Impressionism,1901,Blue Period,1.7884,7.7905,1080.7680,809.8409
Nude with Picasso by her feet,Naïve Art (Primitivism),1903,Blue Period,1.8765,7.0236,72.1042,702.9038
Old blind man with boy,Expressionism,1903,Blue Period,1.4067,6.6629,401.3929,274.1885
"Palace of Arts, Barcelona",Impressionism,1903,Blue Period,1.4460,6.9693,288.9804,305.5274
Picasso and S. Junier-Vidal sitting near Celestina,Expressionism,1904,Blue Period,1.9128,7.3307,139.9761,363.2379
Portrait of a tailor Soler,Post-Impressionism,1903,Blue Period,1.3008,5.8111,68.7788,90.1957
Portrait of Corina Romeu,Post-Impressionism,1902,Blue Period,1.8015,7.8489,188.6245,387.1986
Portrait of Jaime Sabartes (The bock),Expressionism,1901,Blue Period,1.8821,7.8441,573.8367,918.9471
Portrait of Jaime Sabartes,Post-Impressionism,1901,Blue Period,1.6268,7.0856,232.3407,344.9703
Portrait of Jaime Sabartes_1,Post-Impressionism,1904,Blue Period,1.7428,7.4261,106.0244,405.9899
Portrait of Juli Gonzalez,Post-Impressionism,1902,Blue Period,1.8624,7.1130,151.7073,436.8675
Portrait of Mateu Fernandez de Soto,Post-Impressionism,1901,Blue Period,1.7686,7.5087,382.0600,388.2095
Portrait of Sebastia Junyer-Vidal,Expressionism,1902,Blue Period,1.8415,7.6922,773.1229,721.8140
Portrait of Sebastià Junyent Sans,Expressionism,1904,Blue Period,1.5834,7.1628,284.9349,302.4487
Portrait of seniora Soler (Girl in a chemise),Expressionism,1903,Blue Period,1.7905,7.6296,1104.6306,844.5207
Portrait of Suzanne Bloch,Post-Impressionism,1904,Blue Period,1.7809,7.6711,1040.6579,589.8767
Portrait of the Artist,Post-Impressionism,1903,Blue Period,1.8873,6.8109,27.7161,619.6737
Profile of young dutchwoman,Expressionism,1905,Blue Period,1.8904,6.1191,31.3563,460.0431
Public Garden,Impressionism,1901,Blue Period,1.6951,7.4582,170.2145,299.5099
S. Junyer-Vidal with woman beside him,Expressionism,1903,Blue Period,1.6852,7.5533,198.6627,396.8561
