Name of the painting,Style,Year,Period,Fractal dimension,Entropy,Birkhoff measure,Euclidean distance
A hat with flowers,Surrealism,1940,Neoclassicist & Surrealist Period,1.6457,7.3962,92.2636,322.1177
A lamp,Surrealism,1931,Neoclassicist & Surrealist Period,1.7887,7.5696,88.1825,458.5039
A muse,"Cubism, Surrealism",1935,Neoclassicist & Surrealist Period,1.8068,7.8062,277.1827,489.6537
A reclining female nude,"Cubism, Surrealism",1936,Neoclassicist & Surrealist Period,1.7993,7.7493,128.4749,498.4030
A rooster,Naïve Art (Primitivism),1938,Neoclassicist & Surrealist Period,1.9440,7.2569,178.7792,665.9847
A rooster_1,Naïve Art (Primitivism),1938,Neoclassicist & Surrealist Period,1.8152,7.7684,159.9739,588.0957
Abduction (Nessus and Deianeira),Neoclassicism,1920,Neoclassicist & Surrealist Period,1.8266,7.4678,215.4812,482.4797
Abduction (Nessus and Deianeira)_1,Neoclassicism,1920,Neoclassicist & Surrealist Period,1.8826,6.8961,238.4222,794.1074
Acrobat,Neoclassicism,1922,Neoclassicist & Surrealist Period,1.8729,7.4439,686.2958,509.5071
Acrobat_1,Surrealism,1930,Neoclassicist & Surrealist Period,1.7629,7.1759,23.0589,608.9845
Artist and his model,Surrealism,1926,Neoclassicist & Surrealist Period,1.7888,7.6600,135.4233,520.6078
Artist's son,Expressionism,1925,Neoclassicist & Surrealist Period,1.9380,6.5473,79.8085,687.9543
Artist's studio on street La Boetie,Cubism,1920,Neoclassicist & Surrealist Period,1.8931,7.0906,122.6128,574.8091
Bacchic scene with minotaur,Neoclassicism,1933,Neoclassicist & Surrealist Period,1.9066,4.6140,139.5098,336.8532
Ballplayers on the beach,Surrealism,1928,Neoclassicist & Surrealist Period,1.8031,7.4585,104.6393,508.6039
Bather opening a cabin,Surrealism,1928,Neoclassicist & Surrealist Period,1.8650,6.8238,251.5914,583.3688
Bather with beach ball,Surrealism,1932,Neoclassicist & Surrealist Period,1.7701,7.5524,172.7787,485.1642
Bathers on the beach,Surrealism,1928,Neoclassicist & Surrealist Period,1.7539,7.4386,259.4112,433.1669
Bathers_1,Neoclassicism,1920,Neoclassicist & Surrealist Period,1.9120,7.1596,159.2738,706.8642
Bather_1,Surrealism,1928,Neoclassicist & Surrealist Period,1.8376,7.0517,299.5172,512.7376
Bather_2,Surrealism,1929,Neoclassicist & Surrealist Period,1.8176,6.9768,84.0037,472.0313
Bather_3,Surrealism,1931,Neoclassicist & Surrealist Period,1.3100,2.9223,157.3136,51.7996
Beach game and rescue,Surrealism,1932,Neoclassicist & Surrealist Period,1.7988,7.6734,91.0395,585.5003
Birds of a Feather,Surrealism,1920,Neoclassicist & Surrealist Period,1.6127,6.7189,86.3816,283.2707
Blind Minotaur is guided by girl through the night,"Neoclassicism, Surrealism",1934,Neoclassicist & Surrealist Period,1.6676,7.5365,50.6134,163.1233
Blind Minotaur is guided by girl,Surrealism,1934,Neoclassicist & Surrealist Period,1.8537,4.4505,88.0351,306.8643
Blind Minotaur is guided by girl_1,Surrealism,1934,Neoclassicist & Surrealist Period,1.8370,6.3672,114.3335,263.3589
Blind Minotaur is guided by girl_2,Surrealism,1934,Neoclassicist & Surrealist Period,1.8330,7.6000,89.3248,248.0203
Bowl of Fruit and Guitar,Cubism,1920,Neoclassicist & Surrealist Period,1.8122,7.8103,117.1905,566.6103
Boy with a langosta,Surrealism,1941,Neoclassicist & Surrealist Period,1.7043,7.5272,245.7530,368.2111
Bull (plate I),Expressionism,1945,Neoclassicist & Surrealist Period,1.8271,7.4990,173.9798,617.9637
Bull (plate II),Expressionism,1945,Neoclassicist & Surrealist Period,1.6813,7.1500,48.3930,250.5626
Bull (plate III),Expressionism,1945,Neoclassicist & Surrealist Period,1.7658,6.9093,71.0825,255.4868
Bull (plate IV),Cubism,1945,Neoclassicist & Surrealist Period,1.7981,7.1672,63.5944,601.7313
Bull (plate IX),Cubism,1946,Neoclassicist & Surrealist Period,1.9149,6.8251,33.3608,335.4571
Bull (plate V),Cubism,1945,Neoclassicist & Surrealist Period,1.8185,7.1928,103.3244,657.8680
Bull (plate VI),Cubism,1945,Neoclassicist & Surrealist Period,1.8119,7.1778,120.4727,556.3430
Bull (plate VII),Cubism,1945,Neoclassicist & Surrealist Period,1.8554,7.2427,70.6764,703.2914
Bull (plate VIII),Cubism,1946,Neoclassicist & Surrealist Period,1.8986,5.2486,39.8349,332.1555
Bull (plate X),Cubism,1946,Neoclassicist & Surrealist Period,1.8717,6.8913,34.4942,741.2362
Bull (plate XI),Cubism,1946,Neoclassicist & Surrealist Period,1.9445,3.5796,14.9731,382.5280
Bull (study),Cubism,1946,Neoclassicist & Surrealist Period,1.8428,6.5645,66.1278,707.3498
Bull's head on the table,Surrealism,1942,Neoclassicist & Surrealist Period,1.8128,7.4376,79.0920,455.5486
Bull's Head,"Surrealism, Dada",1942,Neoclassicist & Surrealist Period,1.8241,7.8001,28.6105,592.0333
Bullfight,Surrealism,1934,Neoclassicist & Surrealist Period,1.7465,7.4892,153.4366,422.7437
"Bust of a woman, arms raised",Neoclassicism,1922,Neoclassicist & Surrealist Period,1.7833,7.1725,470.0518,544.0880
Bust of a woman,Surrealism,1935,Neoclassicist & Surrealist Period,1.6727,6.8897,28.0005,435.0682
Bust of a woman_1,"Cubism, Surrealism",1941,Neoclassicist & Surrealist Period,1.7862,7.4684,107.9961,562.0904
Bust of woman_3,Surrealism,1931,Neoclassicist & Surrealist Period,1.6686,4.3635,54.7418,106.7321
Bust of woman_4,"Cubism, Surrealism",1936,Neoclassicist & Surrealist Period,1.8318,7.5141,228.0385,516.2353
Bust of woman_5,"Cubism, Surrealism",1939,Neoclassicist & Surrealist Period,1.6733,7.3373,228.7626,387.2244
Bust of woman_6,Surrealism,1943,Neoclassicist & Surrealist Period,1.7755,7.6195,37.6710,231.3473
Buste of young woman (Marie-Therese Walter),"Cubism, Surrealism",1926,Neoclassicist & Surrealist Period,1.6821,7.6464,140.2608,311.7987
Café 'Royan',Cubism,1940,Neoclassicist & Surrealist Period,1.8564,7.6760,94.6248,472.7058
Café in Royan,Cubism,1940,Neoclassicist & Surrealist Period,1.8256,7.6776,130.4408,646.7729
"Candle, palette, head of red bull",Surrealism,1938,Neoclassicist & Surrealist Period,1.8031,7.3582,88.5622,524.1042
"Candle, palette, head of red bull_1",Surrealism,1938,Neoclassicist & Surrealist Period,1.5679,7.4666,88.8347,371.6257
Cat catching a bird,Surrealism,1939,Neoclassicist & Surrealist Period,1.7719,7.3229,66.8866,310.8132
Cat eating a bird,"Cubism, Surrealism",1939,Neoclassicist & Surrealist Period,1.7396,7.7631,116.8398,485.9591
Child with flower,"Cubism, Surrealism",1945,Neoclassicist & Surrealist Period,1.8139,7.6011,73.0892,425.8681
Claude in the arms of his mother,Expressionism,1948,Neoclassicist & Surrealist Period,1.7620,7.8173,357.5107,452.2102
Claude with a ball,Surrealism,1948,Neoclassicist & Surrealist Period,1.6884,7.5698,341.1936,381.5689
"Claude, two years old, and his hobby horse",Surrealism,1949,Neoclassicist & Surrealist Period,1.7317,7.5774,112.5477,343.0552
Cock and knife,"Cubism, Surrealism",1947,Neoclassicist & Surrealist Period,1.8705,6.7332,70.8260,536.3854
Composition,"Cubism, Surrealism",1946,Neoclassicist & Surrealist Period,1.9051,7.5570,119.1993,538.4707
Contemplating people,Surrealism,1939,Neoclassicist & Surrealist Period,1.4379,7.1772,57.3739,136.2871
Couple at the seaside,Surrealism,1928,Neoclassicist & Surrealist Period,1.7526,6.9147,78.0162,244.3820
Crane and pitcher,"Cubism, Surrealism",1945,Neoclassicist & Surrealist Period,1.7518,7.6252,209.7956,369.1154
"Crane, book and oil lamp","Cubism, Surrealism",1946,Neoclassicist & Surrealist Period,1.8432,7.5986,102.0862,700.6435
Crucifixion (study),Surrealism,1930,Neoclassicist & Surrealist Period,1.8427,6.2774,50.6130,368.6456
Crucifixion,Surrealism,1930,Neoclassicist & Surrealist Period,1.7991,7.4740,313.5059,481.7194
Crying woman,Naïve Art (Primitivism),1937,Neoclassicist & Surrealist Period,1.7032,7.5784,265.3483,432.4783
Crying woman_1,Surrealism,1937,Neoclassicist & Surrealist Period,1.6096,6.6455,121.3234,231.5788
Crying woman_2,Surrealism,1937,Neoclassicist & Surrealist Period,1.8211,7.6192,65.1706,258.8018
Design of costume for Pulcinella,Post-Impressionism,1920,Neoclassicist & Surrealist Period,1.8230,7.7689,167.9129,430.6425
Design of costume for Pulcinella_1,Post-Impressionism,1920,Neoclassicist & Surrealist Period,1.8564,7.3573,98.4701,506.6124
Dora Maar,Surrealism,1939,Neoclassicist & Surrealist Period,1.7469,7.7087,229.5876,476.6412
Dream and Lie of Franco,Surrealism,1937,Neoclassicist & Surrealist Period,1.9252,7.2222,186.2984,593.2050
Dream and Lie of Franco_1,Surrealism,1937,Neoclassicist & Surrealist Period,1.8576,7.3647,212.4344,657.7399
Dying bull,Surrealism,1934,Neoclassicist & Surrealist Period,1.7087,7.5081,203.6785,370.1228
Family at the seashore,Neoclassicism,1922,Neoclassicist & Surrealist Period,1.7498,7.5120,87.6992,628.7812
Farmer's wife on a stepladder,"Cubism, Surrealism",1933,Neoclassicist & Surrealist Period,1.7911,7.4927,193.2927,484.1610
"Faun unveiling a sleeping girl (Jupiter and Antiope, after Rembrandt)",Neoclassicism,1936,Neoclassicist & Surrealist Period,1.6710,7.2604,187.6430,388.6798
Faun's head,Surrealism,1938,Neoclassicist & Surrealist Period,1.8476,7.5098,174.1152,613.8731
"Faun, horse and bird","Neoclassicism, Surrealism",1936,Neoclassicist & Surrealist Period,1.8570,7.5424,251.0794,554.9255
Female bust (Portrait de Dora Maar),"Cubism, Surrealism",1941,Neoclassicist & Surrealist Period,1.7494,7.5737,120.7963,182.7060
Female nude in the garden,Surrealism,1934,Neoclassicist & Surrealist Period,1.7535,7.8204,142.5626,502.5813
Female nude sitting in red armchair,Cubism,1932,Neoclassicist & Surrealist Period,1.7747,7.4335,34.2383,623.5043
Female nude_1,Cubism,1941,Neoclassicist & Surrealist Period,1.6615,7.4859,263.6704,398.6653
"Femme Assise, Robe Bleue","Synthetic Cubism, Cubism",1939,Neoclassicist & Surrealist Period,1.6730,7.1557,873.9619,1082.7185
Figure and profile,Surrealism,1928,Neoclassicist & Surrealist Period,1.8251,7.4455,49.3268,359.6232
Figure,Surrealism,1927,Neoclassicist & Surrealist Period,1.9573,7.3789,299.4400,643.8546
Figures at the Seaside,Surrealism,1931,Neoclassicist & Surrealist Period,1.7863,7.7845,78.6510,498.2272
Figure_1,Surrealism,1945,Neoclassicist & Surrealist Period,1.9192,7.2224,69.2617,671.0832
Firsts steps,Surrealism,1943,Neoclassicist & Surrealist Period,1.7022,7.7981,76.0058,257.4219
Five bathers,Neoclassicism,1920,Neoclassicist & Surrealist Period,1.7390,7.5475,47.2886,186.7874
Girl in a hat with her arms crossed,Neoclassicism,1920,Neoclassicist & Surrealist Period,1.6930,7.5507,114.1901,361.2846
Girl in Front of Mirror,Surrealism,1932,Neoclassicist & Surrealist Period,1.7424,7.4994,181.5490,494.2967
Girl in front of mirror_1,Surrealism,1932,Neoclassicist & Surrealist Period,1.7448,7.4179,44.4371,206.2678
Glass and pitcher,Cubism,1944,Neoclassicist & Surrealist Period,1.6423,7.1713,150.7976,342.6885
"Glass, bottle, packet of tobacco",Cubism,1922,Neoclassicist & Surrealist Period,1.8421,7.4014,90.7902,612.3745
Great bather reading,Surrealism,1937,Neoclassicist & Surrealist Period,1.6709,7.5481,315.3953,373.2401
Great Still life on pedestal,Surrealism,1931,Neoclassicist & Surrealist Period,1.7906,7.8701,92.5955,533.7670
Greek woman,Neoclassicism,1924,Neoclassicist & Surrealist Period,1.8516,7.3895,162.6635,478.7263
Guernica,"Cubism, Surrealism",1937,Neoclassicist & Surrealist Period,1.7875,7.3971,209.5415,1155.5107
Guitar on pedestal,Cubism,1920,Neoclassicist & Surrealist Period,1.7742,7.6498,61.0199,374.8155
Guitar on pedestal_1,Cubism,1920,Neoclassicist & Surrealist Period,1.7255,7.5696,23.3244,370.6215
Guitar on pedestal_2,Cubism,1920,Neoclassicist & Surrealist Period,1.7428,6.5107,25.8479,557.9624
"Guitar, Bottle and Fruit Bowl",Cubism,1921,Neoclassicist & Surrealist Period,1.8215,7.0382,67.3131,214.5652
"Guitar, Glass and Fruit Dish with Fruit",Surrealism,1924,Neoclassicist & Surrealist Period,1.7374,7.5864,79.3469,371.0613
Guitar_1,Synthetic Cubism,1920,Neoclassicist & Surrealist Period,1.8441,7.4880,14.7338,387.5816
Guitar_2,Synthetic Cubism,1920,Neoclassicist & Surrealist Period,1.8775,7.3886,61.4997,745.0575
Guitar_3,Synthetic Cubism,1926,Neoclassicist & Surrealist Period,1.8561,6.6252,89.7944,707.0785
Harlequin with his hands crossed (Jacinto Salvado),Post-Impressionism,1923,Neoclassicist & Surrealist Period,1.8201,7.5552,117.8678,429.1199
Head in blue background,Surrealism,1929,Neoclassicist & Surrealist Period,1.8624,7.0316,33.0937,312.8213
Head in red background,Surrealism,1930,Neoclassicist & Surrealist Period,1.8374,5.4847,18.5871,346.3231
Head of a Girl,Naïve Art (Primitivism),1947,Neoclassicist & Surrealist Period,1.8614,5.1049,48.5354,429.6678
Head of a woman (Marie-Therese Walter),Cubism,1937,Neoclassicist & Surrealist Period,1.8667,6.8509,96.7737,300.8569
Head of a woman (Olga Picasso),Surrealism,1935,Neoclassicist & Surrealist Period,1.8367,7.3912,76.8477,618.0386
Head of a woman with green curls,"Expressionism, Naïve Art (Primitivism)",1946,Neoclassicist & Surrealist Period,1.7267,7.7137,241.6183,402.2570
Head of a woman,Neoclassicism,1923,Neoclassicist & Surrealist Period,1.7312,7.6777,169.9139,600.8763
Head of a woman_1,Cubism,1930,Neoclassicist & Surrealist Period,1.4999,6.0583,17.7131,211.6797
Head of a woman_2,Surrealism,1939,Neoclassicist & Surrealist Period,1.8303,7.6761,235.5242,510.3522
Head of Faun,Naïve Art (Primitivism),1949,Neoclassicist & Surrealist Period,1.5932,7.0983,25.7991,211.9212
Head of woman_3,Neoclassicism,1921,Neoclassicist & Surrealist Period,1.8616,7.7561,85.3905,600.7616
Head of woman_4,Neoclassicism,1921,Neoclassicist & Surrealist Period,1.6204,7.4244,218.8286,249.9985
Head of woman_5,Neoclassicism,1921,Neoclassicist & Surrealist Period,1.6155,6.6623,71.7223,272.1349
Head of woman_6,Neoclassicism,1923,Neoclassicist & Surrealist Period,1.7386,7.7281,134.2799,358.3280
Head of woman_7,Surrealism,1943,Neoclassicist & Surrealist Period,1.7112,7.5749,48.7792,393.8288
Head_2,Surrealism,1929,Neoclassicist & Surrealist Period,1.6687,7.0651,123.8338,467.8894
Head_3,Surrealism,1936,Neoclassicist & Surrealist Period,1.9508,6.5648,67.1780,772.5934
Head_4,Surrealism,1938,Neoclassicist & Surrealist Period,1.7607,7.6589,239.2466,439.7347
Interior with easel,Cubism,1926,Neoclassicist & Surrealist Period,1.8343,7.8184,174.8192,476.2241
"Jug, candle and enamel pan",Cubism,1945,Neoclassicist & Surrealist Period,1.5861,7.3577,209.7437,346.9000
Kallan,Neoclassicism,1923,Neoclassicist & Surrealist Period,1.7191,7.7024,56.5961,230.6689
Landscape of Juan-les-Pins,"Cubism, Expressionism",1920,Neoclassicist & Surrealist Period,1.5839,7.0378,126.8960,243.7947
Landscape,Naïve Art (Primitivism),1928,Neoclassicist & Surrealist Period,1.9315,7.2258,267.0655,566.6955
Large nude in red armchair,Surrealism,1929,Neoclassicist & Surrealist Period,1.7732,7.7979,83.7300,554.0362
Leaning woman with bonnet,Neoclassicism,1921,Neoclassicist & Surrealist Period,1.8544,7.3327,249.5352,424.0377
Leaning woman,Surrealism,1937,Neoclassicist & Surrealist Period,1.7638,7.4000,131.6708,465.1204
"Leeks, fish head, skull and pitcher",Cubism,1945,Neoclassicist & Surrealist Period,1.8427,7.5487,90.4941,603.4724
Lovers_2,Neoclassicism,1923,Neoclassicist & Surrealist Period,1.8731,7.4370,161.1157,518.6699
Lust for life (Pastorale),Surrealism,1946,Neoclassicist & Surrealist Period,1.7611,7.7449,80.6416,428.3787
Lying female nude,Naïve Art (Primitivism),1932,Neoclassicist & Surrealist Period,1.9442,6.1174,28.3287,697.5144
Lying female nude_1,Surrealism,1932,Neoclassicist & Surrealist Period,1.7846,7.7997,155.9312,506.7259
Lying female nude_2,Naïve Art (Primitivism),1932,Neoclassicist & Surrealist Period,1.9638,6.5582,232.3390,702.6783
Man and woman_1,Neoclassicism,1927,Neoclassicist & Surrealist Period,1.9102,7.1323,347.6841,806.0291
Man with a straw hat and an ice-cream,Surrealism,1938,Neoclassicist & Surrealist Period,1.5071,6.0055,196.5427,228.2294
Man with ice-cream cone,Surrealism,1938,Neoclassicist & Surrealist Period,1.8298,7.5825,271.8384,558.1260
Man with mandolin,Cubism,1920,Neoclassicist & Surrealist Period,1.7732,7.4455,101.0039,259.9853
Man with mandolin_1,Cubism,1920,Neoclassicist & Surrealist Period,1.6343,7.0307,90.5436,289.9518
Man with straw hat,Surrealism,1938,Neoclassicist & Surrealist Period,1.6232,6.0898,217.8054,283.1966
"Marie-Therese as vestal, ensuring the Minotaur asleep",Neoclassicism,1933,Neoclassicist & Surrealist Period,1.8267,7.1335,46.2672,264.1406
Marie-Therese leaning,Surrealism,1939,Neoclassicist & Surrealist Period,1.8533,7.4473,122.7413,643.3532
Maya with boat,Surrealism,1938,Neoclassicist & Surrealist Period,1.7200,7.5830,187.0709,434.2384
Milliners (Workshop of the milliner),Cubism,1926,Neoclassicist & Surrealist Period,1.6381,7.6524,127.0321,387.2288
Minotaur is dying,Expressionism,1933,Neoclassicist & Surrealist Period,1.8589,3.2951,54.2622,327.2339
"Minotaur is wounded, horse and personages",Surrealism,1936,Neoclassicist & Surrealist Period,1.8212,7.7070,314.5092,524.2974
Minotaur is wounded,"Expressionism, Neoclassicism",1933,Neoclassicist & Surrealist Period,1.8533,4.2407,71.8221,317.3856
Minotaur is wounded_1,Expressionism,1933,Neoclassicist & Surrealist Period,1.8476,3.5414,69.7951,316.7838
Minotaur is wounded_2,"Expressionism, Surrealism",1937,Neoclassicist & Surrealist Period,1.8839,7.5299,193.0878,477.9908
Minotaur with dead horse in front of a cave facing a girl in veil,"Expressionism, Surrealism",1936,Neoclassicist & Surrealist Period,1.7773,7.7685,184.5004,479.0194
Minotauromachy,"Neoclassicism, Surrealism",1935,Neoclassicist & Surrealist Period,1.7730,7.5126,356.7403,212.3220
Model for the cover of Minotaur,"Cubism, Surrealism",1933,Neoclassicist & Surrealist Period,1.7185,7.5215,195.7832,438.1079
Monument (Head of a Woman),"Surrealism, Cubism",1929,Neoclassicist & Surrealist Period,1.8642,6.8518,30.0534,352.0436
Mother and child (Marie-Therese and Maya),"Cubism, Surrealism",1938,Neoclassicist & Surrealist Period,1.7887,7.6375,146.3889,444.7989
Mother and child_2,Neoclassicism,1921,Neoclassicist & Surrealist Period,1.8188,7.3772,56.9110,231.2539
Mother and child_3,Neoclassicism,1921,Neoclassicist & Surrealist Period,1.7917,7.5972,72.2856,207.5817
Mother and child_4,Post-Impressionism,1922,Neoclassicist & Surrealist Period,1.8740,7.3733,394.5561,590.4988
Mother and child_5,Post-Impressionism,1922,Neoclassicist & Surrealist Period,1.9531,7.2280,123.2081,707.4782
Mother and child_6,Neoclassicism,1922,Neoclassicist & Surrealist Period,1.8432,7.5755,212.1591,467.8554
Musicians with masks,Cubism,1921,Neoclassicist & Surrealist Period,1.6416,7.2540,166.6884,402.3689
Musicians with masks_1,Cubism,1921,Neoclassicist & Surrealist Period,1.5585,6.7362,181.2764,321.1254
Naked woman,Surrealism,1932,Neoclassicist & Surrealist Period,1.8090,7.2697,28.8463,246.9360
Night fishing at Antibes,Surrealism,1939,Neoclassicist & Surrealist Period,1.6329,7.6814,186.0613,351.5820
Nudes and bust,"Neoclassicism, Surrealism",1933,Neoclassicist & Surrealist Period,1.7485,7.5934,113.6247,240.5262
Nudes in Reverie,Naïve Art (Primitivism),1920,Neoclassicist & Surrealist Period,1.8788,3.8352,37.5134,877.3891
Nudes,Surrealism,1934,Neoclassicist & Surrealist Period,1.8173,7.3991,16.5749,248.6918
Olga in a hat with feather,Post-Impressionism,1920,Neoclassicist & Surrealist Period,1.9097,6.6389,52.3535,627.5730
Olga,Neoclassicism,1923,Neoclassicist & Surrealist Period,1.6586,7.2382,101.8524,392.3475
"On the beach, Dinard","Cubism, Surrealism",1928,Neoclassicist & Surrealist Period,1.6930,7.4974,199.0397,213.9670
Owl on a chair and sea urchins,Surrealism,1946,Neoclassicist & Surrealist Period,1.7224,7.0314,54.5055,252.4346
Painter and his model,"Cubism, Surrealism",1927,Neoclassicist & Surrealist Period,1.8628,7.1223,55.1580,599.5730
Painter and his model_1,"Cubism, Surrealism",1928,Neoclassicist & Surrealist Period,1.7770,7.3411,70.1019,588.6013
Pan's flute,Neoclassicism,1923,Neoclassicist & Surrealist Period,1.8375,7.6119,169.2967,474.2738
Paul as harlequin,Neoclassicism,1924,Neoclassicist & Surrealist Period,1.8355,7.5367,64.6727,619.4415
"Paul, the artist's son, ten years old",Neoclassicism,1923,Neoclassicist & Surrealist Period,1.7990,7.6352,64.0237,462.8059
Pedestal_1,Cubism,1920,Neoclassicist & Surrealist Period,1.8189,7.7022,311.6285,500.2768
Pierrot and harlequin on the terrace of café,Cubism,1920,Neoclassicist & Surrealist Period,1.7234,7.0970,26.7749,452.9080
Pierrot and Harlequin,"Art Nouveau (Modern), Cubism",1920,Neoclassicist & Surrealist Period,1.8264,7.1984,65.2381,523.9893
Pigeon,Naïve Art (Primitivism),1947,Neoclassicist & Surrealist Period,1.6211,6.9571,70.8539,218.0318
Plaster head and arm,Surrealism,1925,Neoclassicist & Surrealist Period,1.7884,7.9026,135.9045,566.2830
Portrait of a Lady,Surrealism,1928,Neoclassicist & Surrealist Period,1.7939,7.0184,50.8809,529.3454
Portrait of bearded man leaning on cradle,Expressionism,1920,Neoclassicist & Surrealist Period,1.8699,6.8625,239.8853,454.5092
Portrait of D. M.,Naïve Art (Primitivism),1943,Neoclassicist & Surrealist Period,1.7274,7.1445,38.9336,310.9253
Portrait of Dora Maar,Surrealism,1937,Neoclassicist & Surrealist Period,1.7171,7.4240,110.7275,403.6562
Portrait of Dora Maar_1,Surrealism,1937,Neoclassicist & Surrealist Period,1.7406,7.2564,87.0569,484.7237
Portrait of Dora Maar_2,Surrealism,1937,Neoclassicist & Surrealist Period,1.7320,7.5482,116.4848,466.0319
Portrait of Erik Satie,Expressionism,1920,Neoclassicist & Surrealist Period,1.8730,4.3856,99.4898,791.5992
Portrait of Igor Stravinsky,Expressionism,1920,Neoclassicist & Surrealist Period,1.8774,6.1363,61.0412,766.3061
Portrait of Jaime Sabartes as Grandee,Surrealism,1939,Neoclassicist & Surrealist Period,1.6844,7.4164,385.0699,383.4485
Portrait of La Scala master of ballet,Expressionism,1925,Neoclassicist & Surrealist Period,1.8588,5.7238,33.5940,631.0544
Portrait of Lee Miller as Arlesienne,Surrealism,1937,Neoclassicist & Surrealist Period,1.8717,7.7135,199.5802,508.2933
Portrait of Marie-Therese,Surrealism,1937,Neoclassicist & Surrealist Period,1.8196,7.0480,56.2219,433.4811
Portrait of Marie-Thérèse Walter with garland,Surrealism,1937,Neoclassicist & Surrealist Period,1.7095,7.1575,106.2069,399.5175
Portrait of Marie-Thérèse Walter,Surrealism,1937,Neoclassicist & Surrealist Period,1.7272,7.5992,140.4420,471.8699
Portrait of Marie-Thérèse Walter_1,Surrealism,1937,Neoclassicist & Surrealist Period,1.7826,7.8214,208.3869,507.8297
Portrait of Maya with her doll,Surrealism,1938,Neoclassicist & Surrealist Period,1.8645,7.5701,50.9675,600.2940
Portrait of Maya,Post-Impressionism,1938,Neoclassicist & Surrealist Period,1.8745,7.7338,367.0696,449.3431
Portrait of Nusch Éluard,"Cubism, Surrealism",1937,Neoclassicist & Surrealist Period,1.9061,6.6360,68.2501,662.6865
Portrait of Nusch Éluard_1,Expressionism,1941,Neoclassicist & Surrealist Period,1.8085,7.7073,258.0982,406.0689
Portrait of Olga,Expressionism,1920,Neoclassicist & Surrealist Period,1.8572,5.6462,35.1952,809.1999
Portrait of Paul Éluard,"Cubism, Surrealism",1937,Neoclassicist & Surrealist Period,1.6895,7.2337,187.0119,272.5749
Portrait of Paulo as Pierrot,Naïve Art (Primitivism),1929,Neoclassicist & Surrealist Period,1.9531,7.0883,146.9130,653.6101
"Portrait of Paulo, artist's son",Expressionism,1923,Neoclassicist & Surrealist Period,1.9282,7.3518,231.6123,579.9934
Portrait of woman (Dora Maar),Surrealism,1942,Neoclassicist & Surrealist Period,1.6776,7.3502,229.8989,378.1251
Portrait of woman in d`hermine pass (Olga),Surrealism,1923,Neoclassicist & Surrealist Period,1.8989,7.5426,133.5736,561.8059
Portrait of woman,Surrealism,1936,Neoclassicist & Surrealist Period,1.7823,7.5301,193.1869,448.0990
Portrait of woman_1,Surrealism,1936,Neoclassicist & Surrealist Period,1.7835,7.6682,322.5978,422.0474
Portrait of woman_2,Surrealism,1936,Neoclassicist & Surrealist Period,1.8352,6.9428,182.9028,481.9169
Portrait of young girl_1,Surrealism,1936,Neoclassicist & Surrealist Period,1.9504,7.0474,190.4872,634.3985
Punchinello with guitar,Cubism,1920,Neoclassicist & Surrealist Period,1.5878,7.3162,150.3945,346.1748
Reading The Letter,Neoclassicism,1921,Neoclassicist & Surrealist Period,1.5748,7.1624,68.0584,139.0536
Reading,Neoclassicism,1921,Neoclassicist & Surrealist Period,1.7603,7.4761,128.2088,389.4256
Reading_1,Surrealism,1932,Neoclassicist & Surrealist Period,1.7959,7.6201,79.9962,539.7805
Reclining nude_2,Surrealism,1932,Neoclassicist & Surrealist Period,1.7579,7.6265,168.4492,426.0599
Reclining woman at the seashore,Neoclassicism,1920,Neoclassicist & Surrealist Period,1.8823,5.4362,45.9728,834.1659
Reclining Woman,Surrealism,1929,Neoclassicist & Surrealist Period,1.7221,7.6637,132.8210,481.7008
Reclining woman_1,Surrealism,1932,Neoclassicist & Surrealist Period,1.7479,7.5204,96.4759,429.4475
Reclining woman_2,Surrealism,1932,Neoclassicist & Surrealist Period,1.8549,7.7744,255.1804,605.0356
Scene design for Pulcinella,Art Nouveau (Modern),1920,Neoclassicist & Surrealist Period,1.8136,7.6904,148.7344,489.0432
Scenes of bullfighting,Cubism,1945,Neoclassicist & Surrealist Period,1.8566,4.9952,45.9118,840.0380
Seated bather on the beach,Surrealism,1929,Neoclassicist & Surrealist Period,1.8062,7.0772,323.9030,499.5095
Seated bather,Surrealism,1930,Neoclassicist & Surrealist Period,1.8334,7.0468,228.0548,538.2885
Seated Dora Maar,Surrealism,1941,Neoclassicist & Surrealist Period,1.8303,7.5799,109.7680,630.0645
Seated female nude_4,Surrealism,1932,Neoclassicist & Surrealist Period,1.8776,7.6103,31.8764,282.6722
Seated female nude_5,Cubism,1939,Neoclassicist & Surrealist Period,1.9304,6.0579,81.2175,448.0927
Seated Francoise with blue dress,Naïve Art (Primitivism),1949,Neoclassicist & Surrealist Period,1.8603,7.4571,136.4487,492.6214
Seated harlequin (Jacinto Salvado),Post-Impressionism,1923,Neoclassicist & Surrealist Period,1.8124,7.1737,167.4375,346.3993
Seated Nude drying her feet,Neoclassicism,1921,Neoclassicist & Surrealist Period,1.8374,7.7831,152.6008,592.1807
Seated Portrait of Marie-Therese Walter,Surrealism,1937,Neoclassicist & Surrealist Period,1.8267,7.8412,256.5355,428.0310
Seated woman (Olga),Neoclassicism,1920,Neoclassicist & Surrealist Period,1.8547,5.7501,34.4689,431.7772
Seated woman (Olga)_1,Neoclassicism,1920,Neoclassicist & Surrealist Period,1.6194,7.3692,199.8252,267.0011
