Period,Name of the painting,Fractal dimension,Entropy,Birkhoff measure,Euclidean distance
Cubist Period,Musical instruments,1.8178,7.0297,47.0363,330.8497
Cubist Period,My Pretty One (Woman with Guitar),1.7259,7.6188,303.6646,427.5119
Cubist Period,Nude figure,1.5918,7.3976,225.8843,336.4351
Cubist Period,Olga in a Mantilla,1.8623,7.0087,79.4113,826.0743
Cubist Period,Our Futures is in the Air,1.7557,7.7303,68.8768,224.5350
Cubist Period,"Partition, bottle of port, guitar, playing cards",1.7659,7.5619,62.4188,368.9024
Cubist Period,"Pedestal, glasses, cups, mandolin",1.8366,7.7635,68.0424,229.4669
Cubist Period,Pedestal,1.8567,7.5329,116.7763,603.7222
Cubist Period,Pierrot with a mask,1.7254,7.4511,152.5836,474.5350
Cubist Period,Pigeon_1,1.9237,6.2679,25.3060,462.6517
Cubist Period,Pipe and card,1.8006,6.0639,14.4732,362.6083
Cubist Period,Pipe and Musical Score (Pipe and Sheet Music),1.6799,7.2395,137.8817,277.1953
Cubist Period,Playing Card and Glass,1.9251,7.1251,230.8911,386.6207
Cubist Period,Poet,1.7927,7.7778,235.4372,509.2316
Cubist Period,Portrait of Ambroise Vollard,1.6575,7.5698,239.9819,357.9791
Cubist Period,Portrait of Daniel-Henry Kahnweiler,1.7396,7.4986,318.5423,425.5229
Cubist Period,Portrait of Diaghilev and Seligsberg,1.8834,2.7825,44.8159,675.0483
Cubist Period,Portrait of Fernande Olivier,1.8231,7.5269,165.1994,730.2578
Cubist Period,Portrait of Léonide Massine,1.9017,7.6954,160.1802,719.2676
Cubist Period,Portrait of Madame Patri,1.8687,5.7064,34.2103,785.8298
Cubist Period,Portrait of Pierre Auguste Renoir,1.8384,7.4392,205.4404,413.6929
Cubist Period,Portrait of Wilhelm Uhde,1.8064,7.4964,228.6207,506.4573
Cubist Period,Portrait of young girl,1.7076,7.4109,298.4635,442.3644
Cubist Period,Seated female nude_3,1.5633,7.1445,444.1490,314.3955
Cubist Period,Seated man with his arms crossed,1.9036,5.1810,26.8736,502.5844
Cubist Period,Seating nude,1.8897,2.8492,9.6383,635.6753
Cubist Period,Self-Portrait_11,1.8808,4.6765,14.8850,304.9321
Cubist Period,Seven ballerinas,1.9087,7.0022,154.4901,843.6291
Cubist Period,Seven ballerinas_1,1.9461,7.0639,117.2968,898.4160
Cubist Period,Souvenir from Havre,1.7430,7.0680,34.6992,582.9751
Cubist Period,Spanish Still life,1.7620,6.9814,50.1724,586.4907
Cubist Period,Spouses Sisley after the 'The Betrothed' by Auguste Renoir,1.8714,6.1690,101.8795,526.7132
Cubist Period,Still life in front of a window at Saint-Raphael,1.8268,7.7854,75.3942,501.8704
Cubist Period,Still life in front of a Window overlooking the Eglise St. Augustin,1.8278,7.6089,67.2660,477.4656
Cubist Period,Still life on the piano ('CORT'),1.7381,7.8356,163.3078,360.3778
Cubist Period,Still life with a Glass and an Apple,1.9018,7.3209,74.1319,598.8009
Cubist Period,Still life with bottle of  Anis del Mono,1.7964,7.6464,311.8489,462.0920
Cubist Period,Still life with bottle of rum,1.6800,7.3997,335.3318,353.7917
Cubist Period,Still Life with Caned Chair,1.7983,7.3508,135.0442,606.1984
Cubist Period,Still life with Gobleet,1.8116,7.4988,206.8683,419.7920
Cubist Period,Still life with Guitar,1.9139,6.9981,77.5817,636.5679
Cubist Period,Still life with pitcher and apples,1.8207,7.4688,167.9969,509.0762
Cubist Period,Still life with violin and fruits,1.8435,7.3954,100.7889,622.4373
Cubist Period,Still life_1,1.8244,5.6782,22.2788,729.9342
Cubist Period,Student with newspaper,1.9106,7.3325,156.5223,591.5671
Cubist Period,Student with pipe,1.8552,7.2939,109.0919,445.7786
Cubist Period,Table in a Cafe (Bottle of Pernod),1.7886,7.4945,276.3900,435.7851
Cubist Period,Table in front of window,1.8101,7.8082,130.7875,592.3432
Cubist Period,The aficionado (The torero),1.6484,7.4481,258.1221,327.9499
Cubist Period,The chess,1.8989,7.7973,85.0115,289.3681
Cubist Period,The girls of Avignon,1.8631,7.7216,156.8945,607.8706
Cubist Period,The good Derain,1.7672,7.4860,329.9916,392.5085
Cubist Period,The guitar,1.8292,7.5060,117.4564,536.7508
Cubist Period,The guitar_1,1.8143,7.2155,103.2280,506.0727
